"Zone","Year","draw_id","delta"
"Buffer",2007,10,0.0154663750941733
"Buffer",2008,10,0.0156725956976619
"Buffer",2009,10,0.0192863847469809
"Buffer",2010,10,0.0185186792561683
"Buffer",2011,10,0.0124582507518301
"Buffer",2012,10,0.0207660906106572
"Buffer",2013,10,0.0136445228892864
"Buffer",2014,10,0.00643757857170329
"Buffer",2015,10,0.00366141933103994
"Buffer",2016,10,0.0151248061066073
"Buffer",2017,10,0.00525929173517996
"Buffer",2018,10,0.00859099342222439
"Buffer",2019,10,0.0131079451430347
"Buffer",2020,10,0.0195875862219759
"Buffer",2021,10,0.0199803497884556
"Buffer",2022,10,0.0513673448347524
"Buffer",2023,10,0.0248289324878395
"Outside",2001,10,0.0133666497168708
"Outside",2002,10,0.0465107559455763
"Outside",2003,10,0.019433427565783
"Outside",2004,10,0.0157069282220539
"Outside",2005,10,0.0114554750242368
"Outside",2006,10,0.0103593092480631
"Outside",2007,10,0.0187439494170713
"Outside",2008,10,0.0189209600803166
"Outside",2009,10,0.0188422190237408
"Outside",2010,10,0.0265901459553416
"Outside",2011,10,0.0167086348981146
"Outside",2012,10,0.0159563767687336
"Outside",2013,10,0.0105673004670801
"Outside",2014,10,0.0126663137998849
"Outside",2015,10,0.00900469468082968
"Outside",2016,10,0.0145757406769119
"Outside",2017,10,0.00583769687332395
"Outside",2018,10,0.0183536999160947
"Outside",2019,10,0.00970086760597265
"Outside",2020,10,0.0165536250630267
"Outside",2021,10,0.0300659833537489
"Outside",2022,10,0.0470480577738497
"Outside",2023,10,0.0238206060301342
"Core",2001,11,0.0139343284845222
"Core",2002,11,0.0142027099597651
"Core",2003,11,0.0286421281624037
"Core",2004,11,0.0071227791543256
"Core",2005,11,0.00829389844293691
"Core",2006,11,0.0159152404912062
"Core",2007,11,0.00987628954054485
"Core",2008,11,0.0245017516862784
"Core",2009,11,0.0289135303244734
"Core",2010,11,0.0313587227010901
"Core",2011,11,0.0116703031121054
"Core",2012,11,0.0158257118299415
"Core",2013,11,0.0295410444876108
"Core",2014,11,0.00331374211577301
"Core",2015,11,0.00936093530175724
"Core",2016,11,0.0264261288045225
"Core",2017,11,0.0355085310925875
"Core",2018,11,0.0180635286990038
"Core",2019,11,0.0369219091635523
"Core",2020,11,0.0150065473715918
"Core",2021,11,0.0625229981688485
"Core",2022,11,0.0249257573517866
"Core",2023,11,0.0108947478715406
"Buffer",2001,11,0.0137179697830963
"Buffer",2002,11,0.0128693197160199
"Buffer",2003,11,0.00731479464018973
"Buffer",2004,11,0.00415671206924477
"Buffer",2005,11,0.0145985254922822
"Buffer",2006,11,0.0113497245899563
"Buffer",2007,11,0.0166060793820726
"Buffer",2008,11,0.0271090490208382
"Buffer",2009,11,0.0170891900750509
"Buffer",2010,11,0.0117326543483857
"Buffer",2011,11,0.0146644806271225
"Buffer",2012,11,0.0188353970869502
"Buffer",2013,11,0.0100976299889415
"Buffer",2014,11,0.00430535447636822
"Buffer",2015,11,0.00654594755394028
"Buffer",2016,11,0.0125640313387033
"Buffer",2017,11,0.0161833323710445
"Buffer",2018,11,0.0266633429391845
"Buffer",2019,11,0.00425177506540711
"Buffer",2020,11,0.00497437774421449
"Buffer",2021,11,0.0340585196134086
"Buffer",2022,11,0.0672940286818195
"Buffer",2023,11,0.0208917489665345
"Outside",2001,11,0.0124770781158163
"Outside",2002,11,0.0149857627538899
"Outside",2003,11,0.0184990486050531
"Outside",2004,11,0.00689629864635647
"Outside",2005,11,0.0107573216145262
"Outside",2006,11,0.0112814098275058
"Outside",2007,11,0.0225776259001408
"Outside",2008,11,0.0170128377810859
"Outside",2009,11,0.00283837436066261
"Outside",2010,11,0.0272651564335398
"Outside",2011,11,0.0373336718698803
"Outside",2012,11,0.0194398471993876
"Outside",2013,11,0.0176716466285152
"Outside",2014,11,0.0364242629849449
"Outside",2015,11,0.0203917706005714
"Outside",2016,11,0.0184759862068824
"Outside",2017,11,0.00942060014653746
"Outside",2018,11,0.00551866986114884
"Outside",2019,11,0.0147725256038864
"Outside",2020,11,0.00720803635598021
"Outside",2021,11,0.0240230301794788
"Outside",2022,11,0.0396588610761096
"Outside",2023,11,0.0259172209239172
"Core",2001,12,0.00592206357299665
"Core",2002,12,0.0361004319911688
"Core",2003,12,0.0200651345389698
"Core",2004,12,0.0178977951766101
"Core",2005,12,0.011080137422927
"Core",2006,12,0.0162503553338245
"Core",2007,12,0.0212625009327361
"Core",2008,12,0.0183574139914953
"Core",2009,12,0.0212580685689364
"Core",2010,12,0.0261563713534974
"Core",2011,12,0.0123268737776386
"Core",2012,12,0.0262537576532348
"Core",2013,12,0.0133523106068891
"Core",2014,12,0.0159970774506059
"Core",2015,12,0.0101718368661489
"Core",2016,12,0.0166538074391271
"Core",2017,12,0.0270325610969446
"Core",2018,12,0.0124323877752193
"Core",2019,12,0.0275183887276327
"Core",2020,12,0.018568755533002
"Core",2021,12,0.0401632654871028
"Core",2022,12,0.0344607418529848
"Core",2023,12,0.0500957812735401
"Buffer",2001,12,0.0118471011049545
