"draw_id","Zone","n_increase","n_decrease","mean_inc_mag","mean_dec_mag"
202,"Outside",225,384,0.141233413482146,0.298760126745513
203,"Core",233,368,0.157663869983353,0.335465462925023
203,"Buffer",200,408,0.14089433976374,0.2937662913678
203,"Outside",226,382,0.134860580793006,0.306282295071103
204,"Core",219,382,0.149725008511415,0.320195654594946
204,"Buffer",203,406,0.137751526271093,0.315452137623281
204,"Outside",231,379,0.133966705230578,0.315912968477933
205,"Core",217,383,0.146647038701733,0.322948918436138
205,"Buffer",224,382,0.140783266216503,0.330537188495849
205,"Outside",214,396,0.135646907835462,0.307739328883368
206,"Core",222,379,0.152964296085975,0.319767608340001
206,"Buffer",207,402,0.152172791431079,0.303289194928348
206,"Outside",210,400,0.151027971429889,0.295942808986368
207,"Core",226,374,0.136018956797617,0.314745728331282
207,"Buffer",193,414,0.161656199109143,0.314489478557822
207,"Outside",226,384,0.147523180450931,0.301383288006984
208,"Core",216,386,0.150110697855277,0.307841185057894
208,"Buffer",207,402,0.132750762003253,0.316058101532322
208,"Outside",238,371,0.151741250727849,0.298232627322052
209,"Core",227,375,0.155296048527226,0.304650191471141
209,"Buffer",216,392,0.141157497113183,0.317650553122145
209,"Outside",222,388,0.147139728704836,0.30500781071617
210,"Core",241,359,0.163936667066004,0.311591728007365
210,"Buffer",218,391,0.131387283664546,0.306847361996661
210,"Outside",220,389,0.162770703019045,0.315626461324118
211,"Core",228,376,0.161530766024088,0.332451182274725
211,"Buffer",213,394,0.158675026161416,0.302843942657873
211,"Outside",229,381,0.146452965844482,0.321661543804204
212,"Core",213,382,0.154963428265893,0.310076244254728
212,"Buffer",222,387,0.150140201886241,0.310956051533889
212,"Outside",215,395,0.142407434437839,0.304742349591419
213,"Core",240,360,0.138902378885837,0.324679338757139
213,"Buffer",207,400,0.136382413089702,0.315085330959527
213,"Outside",223,387,0.147381874683442,0.303637866034058
214,"Core",226,376,0.158652295032148,0.290188738114254
214,"Buffer",212,397,0.134226093653238,0.302328076697609
214,"Outside",222,388,0.140279607830441,0.311123667165547
215,"Core",216,386,0.161611123917222,0.31258989451689
215,"Buffer",206,400,0.155133794667493,0.28811337204345
215,"Outside",232,377,0.140196564553071,0.293512231905687
216,"Core",211,390,0.147904000364912,0.305837322914137
216,"Buffer",201,408,0.146139805765199,0.311708782334486
216,"Outside",230,380,0.129837876497373,0.315400814515822
217,"Core",226,373,0.14684631989492,0.313293609785758
217,"Buffer",212,397,0.172703910016038,0.298471093636193
217,"Outside",235,374,0.146215500291897,0.317744266848449
218,"Core",232,367,0.142417191777299,0.336988637288309
218,"Buffer",209,397,0.149887610411359,0.306957310293978
218,"Outside",223,385,0.141354154160401,0.293677108408613
219,"Core",241,360,0.155815055209302,0.307081462675306
219,"Buffer",212,398,0.160290118835652,0.313072718444761
219,"Outside",222,387,0.133954980139962,0.292799946591702
220,"Core",224,376,0.17008352210883,0.309401897624537
220,"Buffer",214,395,0.128986108063133,0.316032488493143
220,"Outside",238,371,0.136185904652586,0.300815418612982
221,"Core",231,365,0.161484388446803,0.305174980438784
221,"Buffer",199,407,0.165047662972208,0.314129525603754
221,"Outside",210,400,0.155013953832263,0.305916532931841
222,"Core",217,385,0.171475002075598,0.312486623511807
222,"Buffer",199,410,0.15356153789854,0.303178570860215
